Year,Region,Annual_CO2_Mean,Annual_CI_Lower,Annual_CI_Upper,Cumulative_CO2_Mean,Cumulative_CI_Lower,Cumulative_CI_Upper
2028,Europe & Central Asia,0.0,0.0,0.0,0.0,0.0,0.0
2029,Europe & Central Asia,0.0,0.0,0.0,0.0,0.0,0.0
2030,Europe & Central Asia,-5.9863001926502224e-05,-0.0002945259694783909,0.0001747999656253865,-5.9863001926502224e-05,-0.0002945259694783909,0.0001747999656253865
2031,Europe & Central Asia,0.0010571437867160848,-0.001527224673954045,0.0036415122473862148,0.0009972807847895826,-0.0015977196099785482,0.003592281179557714
2032,Europe & Central Asia,0.002124693774854741,-0.003080163786233744,0.007329551335943226,0.003121974559644324,-0.0026939148203273004,0.008937863939615948
2033,Europe & Central Asia,0.0031396650527216567,-0.0045259238584097715,0.010805253963853085,0.00626163961236598,-0.0033605130903574497,0.015883792315089414
2034,Europe & Central Asia,0.005352951192431494,-0.0035670574147661552,0.014272959799629144,0.011614590804797474,-0.0015060942454202938,0.02473527585501524
2035,Europe & Central Asia,0.007756149071926585,-0.0030487232383564727,0.018561021382209643,0.019370739876724056,0.0023737506777944564,0.03636772907565366
2036,Europe & Central Asia,0.01008903027846836,-0.0022518987565950826,0.0224299593135318,0.029459770155192418,0.008455099929811548,0.05046444038057329
2037,Europe & Central Asia,0.01298997007822607,0.0004619413659701608,0.02551799879048198,0.042449740233418486,0.01799268246491105,0.06690679800192592
2038,Europe & Central Asia,0.015499561318435634,0.002177072358918145,0.02882205027795312,0.05794930155185412,0.03009905223935109,0.08579955086435714
2039,Europe & Central Asia,0.01798602581434808,0.004548430360981118,0.03142362126771505,0.0759353273662022,0.0450127569954047,0.10685789773699972
2040,Europe & Central Asia,0.02056857194002104,0.007432649729375947,0.033704494150666134,0.09650389930622325,0.06290690821087301,0.13010089040157347
2041,Europe & Central Asia,0.022926329277411037,0.009503399153502859,0.036349259401319216,0.11943022858363429,0.08325105137114969,0.15560940579611887
2042,Europe & Central Asia,0.02501307390730386,0.011378674750798744,0.03864747306380898,0.14444330249093815,0.10578027487887352,0.18310633010300278
